geoid,lon,lat
01001,-86.642744,32.534921
01003,-87.722570,30.727484
01005,-85.393211,31.869580
01007,-87.126475,32.998628
01009,-86.567377,33.980872
01011,-85.715682,32.100528
01013,-86.680276,31.752429
01015,-85.826039,33.771429
01017,-85.392029,32.914347
01019,-85.603793,34.175919
01021,-86.718799,32.847864
01023,-88.263180,32.019772
01025,-87.830806,31.676687
01027,-85.860578,33.269024
01029,-85.518813,33.674518
01031,-85.988153,31.402648
01033,-87.804927,34.700470
01035,-86.993674,31.429234
01037,-86.247653,32.936243
01039,-86.451271,31.248493
01041,-86.313555,31.731507
01043,-86.867576,34.131944
01045,-85.610999,31.431801
01047,-87.106474,32.325977
01049,-85.804105,34.459804
01051,-86.149159,32.596647
01053,-87.161580,31.126136
01055,-86.034760,34.045260
01057,-87.738859,33.721223
01059,-87.843736,34.441692
01061,-85.839087,31.095053
01063,-87.952226,32.853127
01065,-87.629146,32.762664
01067,-85.241414,31.514704
01069,-85.302464,31.153196
01071,-85.999357,34.779453
01073,-86.896491,33.554314
01075,-88.096954,33.779142
01077,-87.654010,34.901407
01079,-87.310989,34.521676
01081,-85.355471,32.601146
01083,-86.981397,34.810096
01085,-86.650108,32.154746
01087,-85.692655,32.385959
01089,-86.550222,34.763092
01091,-87.789539,32.247675
01093,-87.887133,34.136558
01095,-86.306638,34.366955
01097,-88.205809,30.787207
01099,-87.365429,31.570880
01101,-86.207619,32.220262
01103,-86.852943,34.453468
01105,-87.294407,32.638462
01107,-88.088751,33.280794
01109,-85.940931,31.802731
01111,-85.459129,33.293785
01113,-85.184925,32.288393
01115,-86.314705,33.715695
01117,-86.660665,33.264279
01119,-88.198848,32.591055
01121,-86.165887,33.380082
01123,-85.797498,32.862377
01125,-87.525127,33.289555
01127,-87.297324,33.803311
01129,-88.207857,31.407629
01131,-87.308192,31.989303
01133,-87.373664,34.149198
04001,-109.488823,35.395526
04003,-109.751168,31.879608
04005,-111.770497,35.838744
04007,-110.811710,33.799747
04009,-109.887399,32.932700
04011,-109.240134,33.215221
04012,-113.981321,33.729249
04013,-112.491280,33.348809
04015,-113.757954,35.704099
04017,-110.321402,35.399658
04019,-111.789914,32.097418
04021,-111.344654,32.904366
04023,-110.846594,31.526025
04025,-112.553905,34.599902
04027,-113.905558,32.769384
05001,-91.374911,34.290808
05003,-91.768454,33.191210
05005,-92.336947,36.287208
05007,-94.256205,36.338725
05009,-93.091533,36.308591
05011,-92.162388,33.466416
05013,-92.503044,33.558031
05015,-93.538239,36.341014
05017,-91.293970,33.267192
05019,-93.176361,34.050965
05021,-90.417558,36.368272
05023,-92.026724,35.538117
05025,-92.185165,33.898352
05027,-93.227297,33.214290
05029,-92.701300,35.262234
05031,-90.632829,35.830789
05033,-94.242822,35.589085
05035,-90.308841,35.207941
05037,-90.771216,35.295709
05039,-92.654425,33.969819
05041,-91.253992,33.833269
05043,-91.719997,33.589445
05045,-92.332038,35.146993
05047,-93.890638,35.512320
05049,-91.818226,36.381657
05051,-93.150412,34.576667
05053,-92.423609,34.289996
05055,-90.558962,36.117571
05057,-93.668479,33.735322
05059,-92.945954,34.317630
05061,-93.993571,34.088916
05063,-91.569708,35.741573
05065,-91.913406,36.094870
05067,-91.214561,35.599278
05069,-91.931516,34.268784
05071,-93.459895,35.570069
05073,-93.607056,33.240945
05075,-91.107087,36.041256
05077,-90.782131,34.780650
05079,-91.733329,33.957444
05081,-94.234344,33.700510
05083,-93.716327,35.215270
05085,-91.888673,34.754266
05087,-93.724559,36.010958
05089,-92.684224,36.268387
05091,-93.891553,33.312091
05093,-90.054201,35.763834
05095,-91.203894,34.677833
05097,-93.659529,34.538811
05099,-93.307183,33.663943
05101,-93.217866,35.919972
05103,-92.881929,33.593359
05105,-92.931457,34.947364
05107,-90.848061,34.428237
05109,-93.656326,34.163518
05111,-90.662989,35.574018
05113,-94.228097,34.485908
05115,-93.034153,35.447627
05117,-91.552797,34.829794
05119,-92.311777,34.769936
05121,-91.027709,36.341461
05123,-90.747771,35.022010
05125,-92.676513,34.646593
05127,-94.063239,34.860774
05129,-92.699508,35.910900
05131,-94.274178,35.199659
05133,-94.241176,33.997170
05135,-91.479858,36.161142
05137,-92.156703,35.859884
05139,-92.597244,33.171293
05141,-92.515687,35.580644
05143,-94.215577,35.979061
05145,-91.745553,35.256271
05147,-91.243058,35.186329
05149,-93.411238,35.002603
06001,-121.889164,37.646562
06003,-119.820664,38.597197
06005,-120.651098,38.446391
06007,-121.600679,39.666934
06009,-120.554121,38.204598
06011,-122.236961,39.177486
06013,-121.927925,37.919163
06015,-123.897258,41.743135
06017,-120.524658,38.778736
06019,-119.649304,36.758197
06021,-122.391999,39.598201
06023,-123.875629,40.699297
06025,-115.365351,33.039512
06027,-117.410746,36.511112
06029,-118.729918,35.342866
06031,-119.815552,36.075345
06033,-122.753185,39.099615
06035,-120.594316,40.673588
06037,-118.224815,34.320749
06039,-119.762675,37.217979
06041,-122.723416,38.073386
06043,-119.905427,37.581506
06045,-123.391473,39.440224
06047,-120.717634,37.191876
06049,-120.724946,41.589847
06051,-118.886841,37.939088
06053,-121.239198,36.217156
06055,-122.330517,38.506485
06057,-120.768463,39.301365
06059,-117.761049,33.702973
06061,-120.717543,39.063466
06063,-120.838545,40.004636
06065,-115.993807,33.743663
06067,-121.344240,38.449315
06069,-121.074982,36.605711
06071,-116.178411,34.841398
06073,-116.735293,33.034137
06075,-122.442881,37.756119
06077,-121.271435,37.934787
06079,-120.404513,35.387080
06081,-122.328895,37.422922
06083,-120.016468,34.672880
06085,-121.695410,37.231953
06087,-122.001836,37.056181
06089,-122.040502,40.763711
06091,-120.515995,39.580325
06093,-122.540365,41.592640
06095,-121.932852,38.269973
06097,-122.887408,38.528287
06099,-120.997697,37.559138
06101,-121.694829,39.034539
06103,-122.234059,40.125625
06105,-123.112641,40.650699
06107,-118.800489,36.220165
06109,-119.954754,38.027587
06111,-119.083628,34.456504
06113,-121.901561,38.686606
06115,-121.351266,39.269007
08001,-104.337766,39.873632
08003,-105.788322,37.572924
08005,-104.339220,39.649757
08007,-107.048286,37.193536
08009,-102.560479,37.319190
08011,-103.071701,37.955102
08013,-105.357731,40.092487
08014,-105.052635,39.954147
08015,-106.194133,38.747023
08017,-102.603511,38.827949
08019,-105.644403,39.689179
08021,-106.191610,37.200718
08023,-105.428221,37.278097
08025,-103.784471,38.326585
08027,-105.367528,38.108691
08029,-107.862889,38.861359
08031,-104.875924,39.762106
08033,-108.517385,37.751666
08035,-104.929559,39.329708
08037,-106.695367,39.627849
08039,-104.135942,39.286556
08041,-104.525472,38.832107
08043,-105.439660,38.472960
08045,-107.904081,39.599324
08047,-105.522516,39.857560
08049,-106.118323,40.102630
08051,-107.031623,38.666768
08053,-107.300302,37.821285
08055,-104.960619,37.684676
08057,-106.342794,40.666442
08059,-105.250473,39.586434
08061,-102.740254,38.432678
08063,-102.602948,39.305482
08065,-106.344778,39.202497
08067,-107.843329,37.286554
08069,-105.461147,40.666387
08071,-104.038740,37.315794
08073,-103.513951,38.988091
08075,-103.110130,40.724670
