ISO3CODE,lon,lat
ABW,-69.977000,12.517000
AFG,65.216000,33.677000
AGO,17.544000,-12.296000
ALB,20.068000,41.143000
ARE,54.163000,23.549000
ARG,-65.167000,-35.377000
ARM,44.563000,40.534000
ASM,-170.730000,-14.318000
ATG,-61.783000,17.078000
AUS,136.189000,-24.973000
AUT,14.912000,47.683000
AZE,47.395000,40.430000
BDI,29.887000,-3.356000
BEL,4.664000,50.643000
BEN,2.469000,10.541000
BFA,-1.740000,12.278000
BGD,89.941000,24.218000
BGR,25.231000,42.761000
BHR,50.562000,26.019000
BHS,-78.014000,24.628000
BIH,17.786000,44.169000
BLR,28.047000,53.540000
BLZ,-88.602000,17.219000
BMU,-64.709000,32.336000
BOL,-64.671000,-16.715000
BRA,-53.089000,-10.772000
BRB,-59.559000,13.153000
BRN,114.591000,4.468000
BTN,90.429000,27.415000
BWA,23.815000,-22.182000
CAF,20.483000,6.571000
CAN,-109.433000,59.081000
CHE,7.908000,46.861000
CHL,-69.433000,-23.389000
CHN,106.514000,33.420000
CIV,-5.556000,7.632000
CMR,12.277000,5.133000
COG,15.986000,-0.055000
COL,-73.076000,3.900000
COM,43.337000,-11.758000
CPV,-23.634000,15.071000
CRI,-83.946000,9.971000
CUB,-77.781000,21.297000
CYM,-81.198000,19.314000
CYP,33.219000,35.043000
CZE,15.338000,49.743000
DEU,9.851000,51.110000
DJI,42.516000,11.900000
DMA,-61.356000,15.475000
DNK,9.264000,56.058000
DOM,-70.729000,19.015000
DZA,2.632000,28.163000
ECU,-78.497000,-1.385000
EGY,29.872000,26.494000
ERI,38.219000,16.045000
ESP,-3.649000,40.227000
EST,25.793000,58.674000
ETH,39.616000,8.626000
FIN,26.272000,64.504000
FJI,177.974000,-17.819000
FRA,2.550000,46.565000
FRO,-6.864000,62.050000
FSM,158.235000,6.883000
GAB,11.797000,-0.591000
GBR,-1.600000,53.000000
GEO,43.518000,42.176000
GHA,-1.207000,7.960000
GIB,-5.345000,36.138000
GIN,-10.942000,10.439000
GMB,-15.386000,13.453000
GNB,-14.651000,12.125000
GNQ,10.488000,1.607000
GRC,21.766000,39.666000
GRD,-61.678000,12.118000
GRL,-41.391000,74.719000
GTM,-90.398000,15.256000
GUM,144.707000,13.385000
GUY,-58.974000,4.792000
HKG,114.129000,22.423000
HND,-86.863000,14.819000
HRV,16.693000,45.723000
HTI,-72.278000,19.142000
HUN,19.134000,47.070000
IDN,114.252000,-0.976000
IND,78.500000,21.000000
IRL,-8.152000,53.177000
IRN,54.301000,32.565000
IRQ,43.772000,33.048000
ISL,-18.480000,64.764000
ISR,34.851000,31.026000
ITA,12.800000,42.700000
JAM,-77.320000,18.151000
JOR,36.319000,30.703000
JPN,139.068000,36.491000
KAZ,67.301000,48.160000
KEN,37.858000,0.530000
KGZ,74.555000,41.465000
KHM,104.564000,12.714000
KIR,175.036000,-1.508000
KNA,-62.769000,17.340000
KOR,128.103000,36.504000
KWT,47.376000,29.476000
LAO,102.471000,19.905000
LBN,35.888000,33.920000
